City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,39.92,92,100,29.89,TF,1698198410
1,calvinia,-31.4707,19.776,54.12,56,12,3.94,ZA,1698198410
2,sumbawa besar,-8.5,117.4333,94.14,35,94,7.7,ID,1698198410
3,remire-montjoly,4.9167,-52.2667,82.44,83,20,2.3,GF,1698198411
4,bilibino,68.0546,166.4372,9.28,95,28,3.53,RU,1698198411
5,iqaluit,63.7506,-68.5145,31.73,74,100,8.05,CA,1698198411
6,ardakan,32.31,54.0175,66.11,26,69,2.46,IR,1698198411
7,afaahiti,-17.75,-149.2833,82.27,74,37,13.56,PF,1698198325
8,edinburgh of the seven seas,-37.0676,-12.3116,53.89,88,41,22.44,SH,1698198411
9,chivhu,-19.0211,30.8922,69.67,58,3,2.75,ZW,1698198411
10,wailua homesteads,22.0669,-159.378,82.83,68,40,9.22,US,1698198411
11,papao,-17.75,-149.55,83.88,71,70,12.15,PF,1698198411
12,pisco,-13.7,-76.2167,68.02,88,0,18.41,PE,1698198263
13,west island,-12.1568,96.8225,80.58,78,73,13.8,CC,1698198412
14,stanley,54.868,-1.6985,46.76,95,40,6.91,GB,1698198412
15,huanggang,23.677,116.9996,76.89,70,41,3.69,CN,1698198412
16,mersa matruh,31.3525,27.2453,68.2,88,20,5.75,EG,1698198412
17,hawaiian paradise park,19.5933,-154.9731,83.71,85,75,8.05,US,1698198234
18,watsa,3.0372,29.5355,64.49,98,100,1.57,CD,1698198412
19,port elizabeth,-33.918,25.5701,57.49,88,0,10.36,ZA,1698198338
20,thompson,55.7435,-97.8558,28.56,64,100,9.22,CA,1698198412
21,carutapera,-1.195,-46.02,78.73,78,22,6.82,BR,1698198412
22,grytviken,-54.2811,-36.5092,34.12,91,89,10.71,GS,1698198412
23,petropavlovsk-kamchatsky,53.0452,158.6483,41.59,61,75,2.24,RU,1698198234
24,yeppoon,-23.1333,150.7333,87.58,60,0,11.12,AU,1698198413
25,ivdel',60.6911,60.4206,27.19,73,22,5.01,RU,1698198413
26,waitangi,-43.9535,-176.5597,57.81,93,100,5.99,NZ,1698198413
